Learning Rate	TrainLoss	TestLoss	TrainL(intrr)	TrainL(bndry)	TrainL(intfc)	
0.00100000	0.30552960	0.00013518	0.03114077	0.00008645	0.00000505	
0.00100000	0.30188950	0.00013051	0.03086596	0.00008538	0.00000484	
0.00100000	0.29924925	0.00013046	0.03057874	0.00008432	0.00000503	
0.00100000	0.29312394	0.00013100	0.03029344	0.00008228	0.00000435	
0.00100000	0.29110350	0.00012460	0.03003239	0.00008214	0.00000468	
0.00100000	0.28878079	0.00012783	0.02975723	0.00008069	0.00000468	
0.00100000	0.28196295	0.00012455	0.02949003	0.00007885	0.00000379	
0.00100000	0.28138633	0.00012073	0.02922850	0.00007955	0.00000496	
0.00100000	0.28320979	0.00011931	0.02896421	0.00007960	0.00000580	
0.00100000	0.33083658	0.00011225	0.02870775	0.00010583	0.00002596	
0.00100000	1.17827391	0.00019402	0.02851689	0.00053498	0.00035317	
0.00100000	4.80662889	0.00022383	0.02806914	0.00116456	0.00082719	
0.00100000	1.66405498	0.00011518	0.02774706	0.00046580	0.00026076	
0.00100000	0.58620156	0.00011994	0.02781889	0.00018793	0.00006197	
0.00100000	0.49513428	0.00012611	0.02793015	0.00014370	0.00004247	
0.00100000	0.34104992	0.00013526	0.02806498	0.00009999	0.00001612	
0.00100000	0.30603879	0.00012752	0.02806473	0.00008579	0.00000946	
0.00100000	0.27756564	0.00012197	0.02789490	0.00007753	0.00000540	
0.00100000	0.26527321	0.00012414	0.02764046	0.00007392	0.00000334	
0.00100000	0.25892438	0.00012171	0.02737689	0.00007287	0.00000216	
0.00100000	0.25567665	0.00011997	0.02711017	0.00007230	0.00000190	
0.00100000	0.25306202	0.00011883	0.02686506	0.00007143	0.00000176	
0.00100000	0.24969771	0.00011717	0.02663955	0.00007067	0.00000167	
0.00100000	0.24782771	0.00011646	0.02641604	0.00006951	0.00000156	
0.00100000	0.24505513	0.00011353	0.02619511	0.00006868	0.00000146	
0.00100000	0.24219419	0.00011241	0.02597697	0.00006819	0.00000174	
0.00100000	0.23964843	0.00011304	0.02576099	0.00006706	0.00000141	
0.00100000	0.24028275	0.00011310	0.02553800	0.00006741	0.00000213	
0.00100000	0.23733368	0.00010995	0.02532413	0.00006638	0.00000166	
0.00100000	0.23323645	0.00010560	0.02511823	0.00006551	0.00000131	
0.00100000	0.26624699	0.00010013	0.02490471	0.00008528	0.00001621	
0.00100000	1.57773759	0.00027401	0.02481518	0.00083206	0.00056716	
0.00100000	6.31512748	0.00023154	0.02427152	0.00157731	0.00110971	
0.00100000	1.62665646	0.00017254	0.02404203	0.00046339	0.00023910	
0.00100000	0.92410112	0.00013753	0.02427762	0.00027142	0.00010476	
0.00100000	0.52702317	0.00012295	0.02461023	0.00015896	0.00004622	
0.00100000	0.34632928	0.00011603	0.02486915	0.00010365	0.00001952	
0.00100000	0.27782810	0.00011513	0.02495162	0.00008196	0.00000945	
0.00100000	0.24736571	0.00011136	0.02480735	0.00007188	0.00000403	
0.00100000	0.24085204	0.00011005	0.02457920	0.00006978	0.00000230	
0.00100000	0.23817415	0.00010929	0.02431301	0.00006904	0.00000178	
0.00100000	0.23377105	0.00011023	0.02408733	0.00006856	0.00000151	
0.00100000	0.23179692	0.00010831	0.02388939	0.00006762	0.00000115	
0.00100000	0.22932938	0.00010567	0.02370113	0.00006653	0.00000099	
0.00100000	0.22457039	0.00010409	0.02352517	0.00006513	0.00000079	
0.00100000	0.22235708	0.00010375	0.02334816	0.00006424	0.00000078	
0.00100000	0.22055143	0.00010194	0.02316460	0.00006358	0.00000070	
0.00100000	0.21777728	0.00010094	0.02298056	0.00006287	0.00000067	
0.00100000	0.21615919	0.00009959	0.02280127	0.00006236	0.00000061	
0.00100000	0.21553802	0.00009806	0.02262068	0.00006190	0.00000061	
0.00100000	0.21218206	0.00009721	0.02244582	0.00006134	0.00000060	
0.00100000	0.21075317	0.00009540	0.02227502	0.00006098	0.00000065	
0.00100000	0.20950595	0.00009443	0.02210343	0.00006061	0.00000075	
0.00100000	0.20796577	0.00009422	0.02193501	0.00005987	0.00000057	
0.00100000	0.20689497	0.00009359	0.02177112	0.00005986	0.00000082	
0.00100000	0.20588096	0.00009178	0.02160492	0.00005924	0.00000063	
0.00100000	0.20340911	0.00009134	0.02144558	0.00005879	0.00000060	
0.00100000	0.20445084	0.00009201	0.02128728	0.00005943	0.00000138	
0.00100000	0.22034626	0.00009902	0.02112316	0.00006739	0.00000751	
0.00100000	0.71610437	0.00026332	0.02098114	0.00035215	0.00021595	
0.00100000	5.97765736	0.00008809	0.02073602	0.00168498	0.00114321	
0.00100000	1.91950831	0.00013344	0.02041956	0.00059312	0.00033676	
0.00100000	0.79414334	0.00013385	0.02055578	0.00025884	0.00009992	
0.00100000	0.56350899	0.00010846	0.02089084	0.00016819	0.00005185	
0.00100000	0.36116793	0.00010049	0.02119553	0.00010787	0.00002478	
0.00100000	0.25853809	0.00009612	0.02128825	0.00007870	0.00001017	
0.00100000	0.22483462	0.00009287	0.02118549	0.00006759	0.00000387	
0.00100000	0.21638537	0.00009165	0.02099528	0.00006473	0.00000204	
0.00100000	0.21205528	0.00009232	0.02078925	0.00006393	0.00000144	
0.00100000	0.20794749	0.00009119	0.02060782	0.00006280	0.00000071	
0.00100000	0.20628479	0.00008896	0.02046118	0.00006201	0.00000055	
0.00100000	0.20242586	0.00008808	0.02032930	0.00006091	0.00000048	
0.00100000	0.19984406	0.00008687	0.02019688	0.00005992	0.00000047	
0.00100000	0.19930536	0.00008622	0.02006034	0.00005942	0.00000055	
0.00100000	0.19752195	0.00008406	0.01992031	0.00005900	0.00000056	
0.00100000	0.19521931	0.00008429	0.01978060	0.00005838	0.00000050	
0.00100000	0.19408147	0.00008204	0.01964248	0.00005804	0.00000045	
0.00100000	0.19176300	0.00008216	0.01950617	0.00005755	0.00000046	
0.00100000	0.19062595	0.00008031	0.01937551	0.00005727	0.00000044	
0.00100000	0.18996771	0.00008016	0.01924326	0.00005672	0.00000040	
0.00100000	0.18870022	0.00007866	0.01911391	0.00005647	0.00000039	
0.00100000	0.18788653	0.00007752	0.01898796	0.00005631	0.00000051	
0.00100000	0.18515152	0.00007692	0.01886053	0.00005576	0.00000040	
0.00100000	0.18546541	0.00007565	0.01873671	0.00005555	0.00000041	
0.00100000	0.18580260	0.00007392	0.01861382	0.00005614	0.00000099	
0.00100000	0.20609566	0.00007138	0.01849606	0.00006706	0.00000858	
0.00100000	0.56406377	0.00010859	0.01839597	0.00025370	0.00013669	
0.00100000	3.50579846	0.00007021	0.01821601	0.00116819	0.00075384	
0.00100000	0.87560455	0.00007430	0.01793360	0.00031398	0.00015747	
0.00100000	0.59387541	0.00010259	0.01800267	0.00018773	0.00007123	
0.00100000	0.42210883	0.00007643	0.01823628	0.00013305	0.00004006	
0.00100000	0.24593133	0.00007767	0.01837932	0.00007752	0.00001176	
0.00100000	0.22543222	0.00008348	0.01841074	0.00006814	0.00000739	
0.00100000	0.20385437	0.00007614	0.01830946	0.00006236	0.00000367	
0.00100000	0.18915033	0.00007592	0.01814792	0.00005847	0.00000121	
0.00100000	0.18818851	0.00007553	0.01800494	0.00005822	0.00000091	
0.00100000	0.18628274	0.00007310	0.01788204	0.00005762	0.00000064	
0.00100000	0.18490509	0.00007345	0.01777504	0.00005681	0.00000061	
0.00100000	0.18113170	0.00007182	0.01767879	0.00005594	0.00000042	
0.00100000	0.17957034	0.00007113	0.01757614	0.00005536	0.00000045	
0.00100000	0.17838000	0.00007056	0.01746867	0.00005482	0.00000034	
0.00100000	0.17655124	0.00006949	0.01736223	0.00005457	0.00000034	
0.00100000	0.17665868	0.00006821	0.01725509	0.00005463	0.00000055	
0.00100000	0.17651068	0.00006781	0.01715004	0.00005425	0.00000050	
0.00100000	0.17442449	0.00006842	0.01704684	0.00005378	0.00000039	
0.00100000	0.17732741	0.00006970	0.01694674	0.00005514	0.00000149	
0.00100000	0.25027412	0.00010120	0.01684614	0.00009822	0.00003112	
0.00100000	2.90175485	0.00032574	0.01678256	0.00143074	0.00091945	
0.00100000	3.25905800	0.00006443	0.01642573	0.00095594	0.00054736	
0.00100000	0.96236878	0.00008896	0.01641806	0.00035736	0.00015201	
0.00100000	0.58512082	0.00008099	0.01677428	0.00019310	0.00006516	
0.00100000	0.39478873	0.00007563	0.01713915	0.00012060	0.00003262	
0.00100000	0.26814903	0.00007675	0.01731027	0.00008357	0.00001456	
0.00100000	0.20988800	0.00007551	0.01726046	0.00006726	0.00000535	
0.00100000	0.19188599	0.00007419	0.01709459	0.00006164	0.00000184	
0.00100000	0.18897417	0.00007255	0.01692891	0.00006063	0.00000118	
0.00100000	0.18553937	0.00006952	0.01679550	0.00005976	0.00000083	
0.00100000	0.18088244	0.00006850	0.01670251	0.00005823	0.00000048	
0.00100000	0.17853853	0.00006827	0.01662243	0.00005704	0.00000049	
0.00100000	0.17688077	0.00006729	0.01653637	0.00005607	0.00000038	
0.00100000	0.17498741	0.00006674	0.01644286	0.00005552	0.00000036	
0.00100000	0.17425329	0.00006552	0.01634349	0.00005514	0.00000035	
0.00100000	0.17302729	0.00006483	0.01624584	0.00005477	0.00000033	
0.00100000	0.17108085	0.00006417	0.01615301	0.00005442	0.00000032	
0.00100000	0.17004293	0.00006343	0.01606123	0.00005406	0.00000032	
0.00100000	0.16940931	0.00006300	0.01596980	0.00005375	0.00000032	
0.00100000	0.16772327	0.00006194	0.01588043	0.00005346	0.00000032	
0.00100000	0.16756853	0.00006152	0.01579215	0.00005321	0.00000033	
0.00100000	0.16641332	0.00006131	0.01570300	0.00005298	0.00000037	
0.00100000	0.16579840	0.00006031	0.01561603	0.00005271	0.00000031	
0.00100000	0.16464889	0.00005982	0.01553104	0.00005244	0.00000030	
0.00100000	0.16411352	0.00005912	0.01544622	0.00005223	0.00000031	
0.00100000	0.16405601	0.00005824	0.01536183	0.00005222	0.00000045	
0.00100000	0.16393667	0.00005751	0.01527903	0.00005231	0.00000061	
0.00100000	0.16567143	0.00005653	0.01519802	0.00005330	0.00000136	
0.00100000	0.19191268	0.00005602	0.01511866	0.00006786	0.00001074	
0.00100000	0.76611335	0.00014924	0.01505847	0.00039822	0.00022060	
0.00100000	4.85370764	0.00009113	0.01488385	0.00137377	0.00082806	
0.00100000	1.48312787	0.00008338	0.01468034	0.00047839	0.00022857	
0.00100000	0.64488434	0.00006952	0.01489886	0.00020813	0.00007522	
0.00100000	0.42524537	0.00006601	0.01521024	0.00013748	0.00004244	
0.00100000	0.24071030	0.00007334	0.01542021	0.00008093	0.00001374	
0.00100000	0.21586724	0.00006513	0.01542301	0.00006913	0.00000772	
0.00100000	0.19142523	0.00006183	0.01528255	0.00006318	0.00000431	
0.00100000	0.17591531	0.00006105	0.01513460	0.00005814	0.00000155	
0.00100000	0.17356693	0.00006060	0.01502721	0.00005719	0.00000102	
0.00100000	0.16903470	0.00005955	0.01495613	0.00005565	0.00000050	
0.00100000	0.16580728	0.00005851	0.01489505	0.00005433	0.00000041	
0.00100000	0.16352111	0.00005787	0.01482535	0.00005350	0.00000035	
0.00100000	0.16285014	0.00005720	0.01474745	0.00005306	0.00000032	
0.00100000	0.16157447	0.00005669	0.01466744	0.00005275	0.00000032	
