Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	1.87856510	0.00178531	0.16440128	0.00059574	0.00003155	0.00000901	
0.00100000	1.93998591	0.00163627	0.16791420	0.00059162	0.00002766	0.00000883	
0.00100000	1.88440695	0.00169408	0.16466441	0.00059252	0.00003374	0.00000862	
0.00100000	1.85074324	0.00165991	0.16282138	0.00059920	0.00003552	0.00000844	
0.00100000	1.82738354	0.00172165	0.16276456	0.00059377	0.00003280	0.00000822	
0.00100000	1.90288123	0.00159949	0.16602684	0.00058226	0.00002993	0.00000803	
0.00100000	1.85902131	0.00164886	0.15951337	0.00059858	0.00002953	0.00000782	
0.00100000	1.83535725	0.00169880	0.16268106	0.00059101	0.00002824	0.00000776	
0.00100000	1.84617294	0.00158967	0.16388979	0.00058471	0.00002874	0.00000755	
0.00100000	1.88601420	0.00161539	0.16139361	0.00059093	0.00002806	0.00000737	
0.00100000	1.82242828	0.00163655	0.15948467	0.00059177	0.00002745	0.00000722	
0.00100000	1.83774481	0.00163880	0.16205476	0.00058262	0.00002810	0.00000701	
0.00100000	1.86903384	0.00157987	0.16097782	0.00058485	0.00003216	0.00000697	
0.00100000	1.80795460	0.00164410	0.15772824	0.00058840	0.00003251	0.00000682	
0.00100000	1.83721903	0.00152281	0.16044972	0.00058197	0.00003452	0.00000671	
0.00100000	1.86998365	0.00155427	0.15908804	0.00058686	0.00002949	0.00000649	
0.00100000	1.86122922	0.00158575	0.16022478	0.00058073	0.00003073	0.00000641	
0.00100000	1.79510274	0.00163338	0.15711757	0.00058617	0.00003079	0.00000632	
0.00100000	1.82806569	0.00152731	0.15980819	0.00057968	0.00003287	0.00000620	
0.00100000	1.82125148	0.00155786	0.15738854	0.00058228	0.00002721	0.00000607	
0.00100000	1.84086321	0.00148215	0.15834256	0.00057807	0.00002957	0.00000610	
0.00100000	1.77777637	0.00154964	0.15693535	0.00058020	0.00002884	0.00000596	
0.00100000	1.84037002	0.00156162	0.15646455	0.00057861	0.00004084	0.00000573	
0.00100000	1.85987669	0.00151704	0.15684294	0.00057855	0.00004319	0.00000572	
0.00100000	1.79689554	0.00153116	0.15579066	0.00058078	0.00003157	0.00000558	
0.00100000	1.81901744	0.00145367	0.15623882	0.00057509	0.00003535	0.00000551	
0.00100000	1.80074291	0.00141476	0.15583287	0.00057667	0.00003987	0.00000547	
0.00100000	1.86055933	0.00141583	0.15474371	0.00057805	0.00004309	0.00000535	
0.00100000	1.84750863	0.00150752	0.15359523	0.00058116	0.00003113	0.00000531	
